#daq_ch	domain	det_def	clover	Time_Offset	theta	phi	threshold	cs_dom	enable	nb_par_cal	cal_pars1	cal_pars2
303	132	2	CL29W	72.7227	90	0	15	0	1	2	0	1
304	133	2	CL29W	72.7227	90	0	15	0	1	2	0	1
305	134	2	CL29W	72.7227	90	0	15	0	1	2	0	1
306	135	2	CL29W	72.7227	90	0	15	0	1	2	0	1
307	136	2	CL29W	72.7227	90	0	15	0	1	2	0	1
308	137	2	CL29W	72.7227	90	0	15	0	1	2	0	1
309	138	2	CL29W	72.7227	90	0	15	0	1	2	0	1
300	139	1	CL29W	72.7227	90	0	15	0	1	2	0	1
301	140	10	CL29W	72.7227	90	0	10	0	1	2	0	1
402	201	2	CL30B	91.4133	90	0	25	0	1	2	0	1
403	202	2	CL30B	91.4133	90	0	10	0	1	2	0	1
404	203	2	CL30B	91.4133	90	0	10	0	1	2	0	1
405	204	2	CL30B	91.4133	90	0	22	0	1	2	0	1
406	205	2	CL30B	91.4133	90	0	15	0	1	2	0	1
407	206	2	CL30B	91.4133	90	0	15	0	1	2	0	1
408	207	2	CL30B	91.4133	90	0	15	0	1	2	0	1
409	208	2	CL30B	91.4133	90	0	18	0	1	2	0	1
400	209	1	CL30B	91.4133	90	0	10	0	1	2	0	1
401	210	10	CL30B	91.4133	90	0	10	0	1	2	0	1
502	211	2	CL30G	110.203	90	0	12	0	1	2	0	1
503	212	2	CL30G	110.203	90	0	14	0	1	2	0	1
504	213	2	CL30G	110.203	90	0	17	0	1	2	0	1
505	214	2	CL30G	110.203	90	0	16	0	1	2	0	1
506	215	2	CL30G	110.203	90	0	20	0	1	2	0	1
507	216	2	CL30G	110.203	90	0	15	0	1	2	0	1
508	217	2	CL30G	110.203	90	0	14	0	1	2	0	1
509	218	2	CL30G	110.203	90	0	12	0	1	2	0	1
500	219	1	CL30G	110.203	90	0	20	0	1	2	0	1
501	220	10	CL30G	110.203	90	0	20	0	1	2	0	1
602	221	2	CL30R	129.128	90	0	16	0	1	2	0	1
603	222	2	CL30R	129.128	90	0	19	0	1	2	0	1
604	223	2	CL30R	129.128	90	0	14	0	1	2	0	1
605	224	2	CL30R	129.128	90	0	15	0	1	2	0	1
606	225	2	CL30R	129.128	90	0	15	0	1	2	0	1
607	226	2	CL30R	129.128	90	0	15	0	1	2	0	1
608	227	2	CL30R	129.128	90	0	15	0	1	2	0	1
609	228	2	CL30R	129.128	90	0	15	0	1	2	0	1
600	229	1	CL30R	129.128	90	0	11	0	1	2	0	1
601	230	10	CL30R	129.128	90	0	10	0	1	2	0	1
702	231	2	CL30W	147.84	90	0	15	0	1	2	0	1
703	232	2	CL30W	147.84	90	0	15	0	1	2	0	1
704	233	2	CL30W	147.84	90	0	15	0	1	2	0	1
705	234	2	CL30W	147.84	90	0	15	0	1	2	0	1
706	235	2	CL30W	147.84	90	0	15	0	1	2	0	1
707	236	2	CL30W	147.84	90	0	15	0	1	2	0	1
708	237	2	CL30W	147.84	90	0	15	0	1	2	0	1
709	238	2	CL30W	147.84	90	0	15	0	1	2	0	1
700	239	1	CL30W	147.84	90	0	15	0	1	2	0	1
701	240	10	CL30W	147.84	90	0	10	0	1	2	0	1
802	301	2	CL32B	0	90	0	25	0	1	2	0	1
803	302	2	CL32B	0	90	0	20	0	1	2	0	1
804	303	2	CL32B	0	90	0	10	0	1	2	0	1
805	304	2	CL32B	0	90	0	22	0	1	2	0	1
806	305	2	CL32B	0	90	0	15	0	1	2	0	1
807	306	2	CL32B	0	90	0	15	0	1	2	0	1
808	307	2	CL32B	0	90	0	15	0	1	2	0	1
809	308	2	CL32B	0	90	0	18	0	1	2	0	1
800	309	1	CL32B	0	90	0	10	0	1	2	0	1
801	310	10	CL32B	0	90	0	10	0	1	2	0	1
902	311	2	CL32G	0	90	0	12	0	1	2	0	1
903	312	2	CL32G	0	90	0	14	0	1	2	0	1
904	313	2	CL32G	0	90	0	17	0	1	2	0	1
905	314	2	CL32G	0	90	0	16	0	1	2	0	1
906	315	2	CL32G	0	90	0	20	0	1	2	0	1
907	316	2	CL32G	0	90	0	15	0	1	2	0	1
908	317	2	CL32G	0	90	0	14	0	1	2	0	1
909	318	2	CL32G	0	90	0	12	0	1	2	0	1
900	319	1	CL32G	0	90	0	20	0	1	2	0	1
901	320	10	CL32G	0	90	0	20	0	1	2	0	1
1002	321	2	CL32R	0	90	0	16	0	1	2	0	1
1003	322	2	CL32R	0	90	0	19	0	1	2	0	1
