#daq_ch	domain	det_def	clover	Time_Offset	theta	phi	threshold	cs_dom	enable	nb_par_cal	cal_pars1	cal_pars2
806	305	2	CL32B	0	90	0	15	0	1	2	-2.2241	1.288294
807	306	2	CL32B	0	90	0	15	0	1	2	-5.2095	1.342988
808	307	2	CL32B	0	90	0	15	0	1	2	-0.4733	1.276578
809	308	2	CL32B	0	90	0	18	0	1	2	-1.9981	1.30997
800	309	1	CL32B	0	90	0	10	0	1	2	-5.8255	1.357641
801	310	10	CL32B	0	90	0	10	0	1	2	-5.1766	3.990829
902	311	2	CL32G	0	90	0	12	0	1	2	-1.9519	1.281299
903	312	2	CL32G	0	90	0	14	0	1	2	-2.7558	1.29788
904	313	2	CL32G	0	90	0	17	0	1	2	-0.6043	1.267777
905	314	2	CL32G	0	90	0	16	0	1	2	-1.779	1.333753
906	315	2	CL32G	0	90	0	20	0	1	2	-1.8573	1.34741
907	316	2	CL32G	0	90	0	15	0	1	2	1.6824	1.353867
908	317	2	CL32G	0	90	0	14	0	1	2	-3.6242	1.353998
909	318	2	CL32G	0	90	0	12	0	1	2	0.584	1.303424
900	319	1	CL32G	0	90	0	20	0	1	2	-3.0616	1.328423
901	320	10	CL32G	0	90	0	20	0	1	2	4.4618	3.894386
1002	321	2	CL32R	0	90	0	16	0	1	2	-1.1576	1.282204
1003	322	2	CL32R	0	90	0	19	0	1	2	3.0431	1.237634
1004	323	2	CL32R	0	90	0	14	0	1	2	-0.7556	1.276171
1005	324	2	CL32R	0	90	0	15	0	1	2	0.5299	1.253669
1006	325	2	CL32R	0	90	0	15	0	1	2	3.6089	1.277853
1007	326	2	CL32R	0	90	0	15	0	1	2	-2.5223	1.323091
1008	327	2	CL32R	0	90	0	15	0	1	2	-1.6348	1.283529
1009	328	2	CL32R	0	90	0	15	0	1	2	-2.886	1.281193
1000	329	1	CL32R	0	90	0	11	0	1	2	-0.0765	1.237637
1001	330	10	CL32R	0	90	0	10	0	1	2	-17.4518 3.73722
1102	331	2	CL32W	0	90	0	15	0	1	2	-4.7718	1.288382
1103	332	2	CL32W	0	90	0	15	0	1	2	-3.5196	1.268672
1104	333	2	CL32W	0	90	0	15	0	1	2	-5.0122	1.235697
1105	334	2	CL32W	0	90	0	15	0	1	2	-5.9497	1.35811
1106	335	2	CL32W	0	90	0	15	0	1	2	0.0843	1.307773
1107	336	2	CL32W	0	90	0	15	0	1	2	-0.593	1.343887
1108	337	2	CL32W	0	90	0	15	0	1	2	-1.6192	1.285099
1109	338	2	CL32W	0	90	0	15	0	1	2	-0.7876	1.286626
1100	339	1	CL32W	0	90	0	15	0	1	2	-7.0296	1.335618
1101	340	10	CL32W	0	90	0	10	0	1	2	-10.3754 3.86792
1202	401	2	CL35B	0	90	0	25	0	1	2	1.8167	1.322987
1203	402	2	CL35B	0	90	0	10	0	1	2	-0.3348	1.323625
1204	403	2	CL35B	0	90	0	10	0	1	2	-2.0106	1.366974
1205	404	2	CL35B	0	90	0	22	0	1	2	0.0774	1.377694
1206	405	2	CL35B	0	90	0	15	0	1	2	-2.513	1.347324
1207	406	2	CL35B	0	90	0	15	0	1	2	1.3224	1.370624
1208	407	2	CL35B	0	90	0	15	0	1	2	-3.0289	1.377046
1209	408	2	CL35B	0	90	0	18	0	1	2	2.5703	1.316353
1200	409	1	CL35B	0	90	0	10	0	1	2	0.4238	1.330237
1201	410	10	CL35B	0	90	0	10	0	1	2	-6.7432	3.883248
1302	411	2	CL35G	0	90	0	12	0	1	2	3.2034	1.338254
1303	412	2	CL35G	0	90	0	14	0	1	2	-2.1283	1.382109
1304	413	2	CL35G	0	90	0	17	0	1	2	5.0659	1.24991
1305	414	2	CL35G	0	90	0	16	0	1	2	-0.6151	1.368349
1306	415	2	CL35G	0	90	0	20	0	1	2	3.3065	1.357795
1307	416	2	CL35G	0	90	0	15	0	1	2	2.0646	1.353566
1308	417	2	CL35G	0	90	0	14	0	1	2	0.7848	1.313626
1309	418	2	CL35G	0	90	0	12	0	1	2	2.0554	1.40276
1300	419	1	CL35G	0	90	0	20	0	1	2	-4.9853	1.341634
1301	420	10	CL35G	0	90	0	20	0	1	2	-15.9058 3.96439
1402	421	2	CL35R	0	90	0	16	0	1	2	-0.8719	1.338707
1403	422	2	CL35R	0	90	0	19	0	1	2	0.0941	1.335128
1404	423	2	CL35R	0	90	0	14	0	1	2	-0.1096	1.313127
1405	424	2	CL35R	0	90	0	15	0	1	2	0.2928	1.347389
1406	425	2	CL35R	0	90	0	15	0	1	2	3.3798	1.320661
1407	426	2	CL35R	0	90	0	15	0	1	2	0.6182	1.386274
1408	427	2	CL35R	0	90	0	15	0	1	2	1.1918	1.342319
1409	428	2	CL35R	0	90	0	15	0	1	2	-1.5416	1.343606
1400	429	1	CL35R	0	90	0	11	0	1	2	0.7637	1.325809
1401	430	10	CL35R	0	90	0	10	0	1	2	-6.9142	3.924758
1502	431	2	CL35W	0	90	0	15	0	1	2	3.2899	1.336563
1503	432	2	CL35W	0	90	0	15	0	1	2	2.2553	1.364342
1504	433	2	CL35W	0	90	0	15	0	1	2	2.4304	1.363392
1505	434	2	CL35W	0	90	0	15	0	1	2	0.9716	1.341713
1506	435	2	CL35W	0	90	0	15	0	1	2	-0.2747	1.372308
1507	436	2	CL35W	0	90	0	15	0	1	2	0.8806	1.367239
1508	437	2	CL35W	0	90	0	15	0	1	2	1.8903	1.311032
1509	438	2	CL35W	0	90	0	15	0	1	2	0.8471	1.317079
1500	439	1	CL35W	0	90	0	15	0	1	2	-0.0254	1.381526
1501	440	10	CL35W	0	90	0	10	0	1	2	-7.0213	4.038719
1602	501	2	CL34B	0	0	0	25	0	1	2	6.1657	1.33024
1603	502	2	CL34B	0	0	0	10	0	1	2	2.0068	1.315337
1604	503	2	CL34B	0	0	0	10	0	1	2	-0.1985	1.348601
1605	504	2	CL34B	0	0	0	22	0	1	2	-2.8187	1.330424
1606	505	2	CL34B	0	0	0	15	0	1	2	0.7444	1.289954
1607	506	2	CL34B	0	0	0	15	0	1	2	0.3922	1.327824
1608	507	2	CL34B	0	0	0	15	0	1	2	1.2543	1.31596
1609	508	2	CL34B	0	0	0	18	0	1	2	1.1292	1.302672
1600	509	1	CL34B	0	0	0	10	0	1	2	0.8422	1.33774
1601	510	10	CL34B	0	0	0	10	0	1	2	-3.6887	3.885286
1702	511	2	CL34G	0	0	0	12	0	1	2	-1.1626	1.343182
1703	512	2	CL34G	0	0	0	14	0	1	2	0.3099	1.344307
1704	513	2	CL34G	0	0	0	17	0	1	2	-0.3799	1.299773
1705	514	2	CL34G	0	0	0	16	0	1	2	0.2372	1.279654
1706	515	2	CL34G	0	0	0	20	0	1	2	-0.0682	1.37893
1707	516	2	CL34G	0	0	0	15	0	1	2	0.9996	1.389584
1708	517	2	CL34G	0	0	0	14	0	1	2	-4.175	1.347934
1709	518	2	CL34G	0	0	0	12	0	1	2	-1.1186	1.287075
1700	519	1	CL34G	0	0	0	20	0	1	2	1.4179	1.246322
1701	520	10	CL34G	0	0	0	20	0	1	2	5.1638	3.742784
1802	521	2	CL34R	0	0	0	16	0	1	2	-1.6363	1.327264
1803	522	2	CL34R	0	0	0	19	0	1	2	-0.2458	1.354929
1804	523	2	CL34R	0	0	0	14	0	1	2	1.9934	1.366232
1805	524	2	CL34R	0	0	0	15	0	1	2	3.3704	1.369365
1806	525	2	CL34R	0	0	0	15	0	1	2	6.3812	1.336665
1807	526	2	CL34R	0	0	0	15	0	1	2	3.1862	1.30376
1808	527	2	CL34R	0	0	0	15	0	1	2	-0.3745	1.360813
1809	528	2	CL34R	0	0	0	15	0	1	2	1.4401	1.291324
1800	529	1	CL34R	0	0	0	11	0	1	2	1.2344	1.333489
1801	530	10	CL34R	0	0	0	10	0	1	2	4.2097	3.885617
1902	531	2	CL34W	0	0	0	15	0	1	2	4.9679	1.31163
1903	532	2	CL34W	0	0	0	15	0	1	2	1.0995	1.285781
1904	533	2	CL34W	0	0	0	15	0	1	2	1.3807	1.248398
1905	534	2	CL34W	0	0	0	15	0	1	2	2.5537	1.302489
1906	535	2	CL34W	0	0	0	15	0	1	2	1.7429	1.343162
1907	536	2	CL34W	0	0	0	15	0	1	2	2.1718	1.291653
1908	537	2	CL34W	0	0	0	15	0	1	2	1.1035	1.348744
1909	538	2	CL34W	0	0	0	15	0	1	2	0.5434	1.301033
1900	539	1	CL34W	0	0	0	15	0	1	2	1.7175	1.302847
1901	540	10	CL34W	0	0	0	10	0	1	2	2.2644	3.779631
2002	601	2	CL36B	0	0	0	25	0	1	2	-4.8528	1.304668
2003	602	2	CL36B	0	0	0	10	0	1	2	0.8947	2.106087
2004	603	2	CL36B	0	0	0	10	0	1	2	1.6414	1.325063
2005	604	2	CL36B	0	0	0	22	0	1	2	0.3747	1.322405
2006	605	2	CL36B	0	0	0	15	0	1	2	-1.2308	1.327854
2007	606	2	CL36B	0	0	0	15	0	1	2	-1.1985	1.428782
2008	607	2	CL36B	0	0	0	15	0	1	2	1.6453	1.358445
2009	608	2	CL36B	0	0	0	18	0	1	2	2.1716	1.323436
2000	609	1	CL36B	0	0	0	10	0	1	2	-0.4715	1.320318
2001	610	10	CL36B	0	0	0	10	0	1	2	0.1652	3.825757
2102	611	2	CL36G	0	0	0	12	0	1	2	3.8961	1.292761
2103	612	2	CL36G	0	0	0	14	0	1	2	7.8198	1.377489
2104	613	2	CL36G	0	0	0	17	0	1	2	-0.8216	1.334829
2105	614	2	CL36G	0	0	0	16	0	1	2	0.9414	1.365993
2106	615	2	CL36G	0	0	0	20	0	1	2	5.3302	1.436939
2107	616	2	CL36G	0	0	0	15	0	1	2	-0.8018	1.410594
2108	617	2	CL36G	0	0	0	14	0	1	2	0.041	1.322573
2109	618	2	CL36G	0	0	0	12	0	1	2	4.1129	1.324273
2100	619	1	CL36G	0	0	0	20	0	1	2	1.5408	1.326075
2101	620	10	CL36G	0	0	0	20	0	1	2	-6.9234	4.004758
2202	621	2	CL36R	0	0	0	16	0	1	2	-5.2896	1.380019
2203	622	2	CL36R	0	0	0	19	0	1	2	-2.8339	1.332819
2204	623	2	CL36R	0	0	0	14	0	1	2	1.5943	1.372001
2205	624	2	CL36R	0	0	0	15	0	1	2	0.5199	1.404183
2206	625	2	CL36R	0	0	0	15	0	1	2	2.3091	1.362366
2207	626	2	CL36R	0	0	0	15	0	1	2	-0.3128	1.399351
2208	627	2	CL36R	0	0	0	15	0	1	2	2.9768	1.425356
2209	628	2	CL36R	0	0	0	15	0	1	2	-3.0171	1.445855
2200	629	1	CL36R	0	0	0	11	0	1	2	2.0729	1.311566
2201	630	10	CL36R	0	0	0	10	0	1	2	-14.3678 3.88181
2302	631	2	CL36W	0	0	0	15	0	1	2	-1.1472	1.370065
2303	632	2	CL36W	0	0	0	15	0	1	2	-2.1759	1.340863
