01	01	0
01	02	1
01	03	2
01	04	1
01	05	1
01	06	2
01	07	3
01	08	2
01	11	3
01	12	4
01	13	3
01	14	2
01	15	4
01	16	5
01	17	4
01	18	3
01	21	6
01	22	5
01	23	4
01	24	5
01	25	7
01	26	6
01	27	5
01	28	6
01	31	3
01	32	2
01	33	3
01	34	4
01	35	4
01	36	3
01	37	4
01	38	5
02	02	0
02	03	1
02	04	2
02	05	2
02	06	1
02	07	2
02	08	3
02	11	2
02	12	3
02	13	2
02	14	1
02	15	3
02	16	4
02	17	3
02	18	2
02	21	5
02	22	4
02	23	3
02	24	4
02	25	6
02	26	5
02	27	4
02	28	5
03	03	0
03	04	1
03	05	3
03	06	2
03	07	1
03	08	2
03	11	3
03	12	2
03	13	1
03	14	2
03	15	4
03	16	3
03	17	2
03	18	3
03	21	4
03	22	3
03	23	2
03	24	3
03	25	5
03	26	4
03	27	3
03	28	4
03	31	3
03	32	2
03	33	1
03	34	2
03	35	4
03	36	3
03	37	2
03	38	3
04	04	0
04	05	2
04	06	3
04	07	2
04	08	1
04	11	4
04	12	3
04	13	2
04	14	3
04	15	5
04	16	4
04	17	3
04	18	4
04	21	5
04	22	4
04	23	3
04	24	4
04	25	6
04	26	5
04	27	4
04	28	5
04	31	2
04	32	1
04	33	2
04	34	3
04	35	3
04	36	2
04	37	3
04	38	4
05	05	0
05	06	1
05	07	2
05	08	1
05	11	4
05	12	5
05	13	4
05	14	3
05	15	3
05	16	4
05	17	3
05	18	2
05	21	7
05	22	6
05	23	5
05	24	6
05	25	6
05	26	5
05	27	4
05	28	5
05	31	4
05	32	3
05	33	4
05	34	5
05	35	3
05	36	2
05	37	3
05	38	4
06	06	0
06	07	1
06	08	2
06	11	3
06	12	4
06	13	3
06	14	2
06	15	2
06	16	3
06	17	2
06	18	1
06	21	6
06	22	5
06	23	4
06	24	5
06	25	5
06	26	4
06	27	3
06	28	4
06	31	5
06	32	4
06	33	3
06	34	4
06	35	4
06	36	3
06	37	2
06	38	3
07	07	0
07	08	1
07	11	4
07	12	3
07	13	2
07	14	3
07	15	3
07	16	2
07	17	1
07	18	2
07	21	5
07	22	4
07	23	3
07	24	4
07	25	4
07	26	3
07	27	2
07	28	3
07	31	4
07	32	3
07	33	2
07	34	3
07	35	3
07	36	2
07	37	1
07	38	2
08	08	0
08	11	5
08	12	4
08	13	3
08	14	4
08	15	4
08	16	3
08	17	2
08	18	3
08	21	6
08	22	5
08	23	4
08	24	5
08	25	5
08	26	4
08	27	3
08	28	4
08	31	3
08	32	2
08	33	3
08	34	4
08	35	2
08	36	1
08	37	2
08	38	3
11	11	0
11	12	1
11	13	2
11	14	1
11	15	1
11	16	2
11	17	3
11	18	2
11	21	3
11	22	4
11	23	3
11	24	2
11	25	4
11	26	5
11	27	4
11	28	3
11	31	6
11	32	5
11	33	4
11	34	5
11	35	7
11	36	6
11	37	5
11	38	6
12	12	0
12	13	1
12	14	2
12	15	2
12	16	1
12	17	2
12	18	3
12	21	2
12	22	3
12	23	2
12	24	1
12	25	3
12	26	4
12	27	3
12	28	2
12	31	5
12	32	4
12	33	3
12	34	4
12	35	6
12	36	5
12	37	4
12	38	5
13	13	0
13	14	1
13	15	3
13	16	2
13	17	1
13	18	2
13	21	3
13	22	2
13	23	1
13	24	2
13	25	4
13	26	3
13	27	2
13	28	3
13	31	4
13	32	3
13	33	2
13	34	3
13	35	5
13	36	4
13	37	3
13	38	4
14	14	0
14	15	2
14	16	3
14	17	2
14	18	1
14	21	4
14	22	3
14	23	2
14	24	3
14	25	5
14	26	4
14	27	3
14	28	4
14	31	5
14	32	4
14	33	3
14	34	4
14	35	6
14	36	5
14	37	4
14	38	5
15	15	0
15	16	1
15	17	2
15	18	1
15	21	4
15	22	5
15	23	4
15	24	3
15	25	3
15	26	4
15	27	3
15	28	2
15	31	7
15	32	6
15	33	5
15	34	6
15	35	6
15	36	5
15	37	4
15	38	5
16	16	0
16	17	1
16	18	2
16	21	3
16	22	4
16	23	3
16	24	2
16	25	2
16	26	3
16	27	2
16	28	1
16	31	6
16	32	5
16	33	4
16	34	5
16	35	5
16	36	4
16	37	3
16	38	4
17	17	0
17	18	1
17	21	4
17	22	3
17	23	2
17	24	3
17	25	3
17	26	2
17	27	1
17	28	2
17	31	5
17	32	4
17	33	3
17	34	4
17	35	4
17	36	3
17	37	2
17	38	3
18	18	0
18	21	5
18	22	4
18	23	3
18	24	4
18	25	4
18	26	3
18	27	2
18	28	3
18	31	6
18	32	5
18	33	4
18	34	5
18	35	5
18	36	4
18	37	3
18	38	4
21	21	0
21	22	1
21	23	2
21	24	1
21	25	1
21	26	2
21	27	3
21	28	2
21	31	3
21	32	4
21	33	3
21	34	2
21	35	4
21	36	5
21	37	4
21	38	3
22	22	0
22	23	1
22	24	2
22	25	2
22	26	1
22	27	2
22	28	3
22	31	2
22	32	3
22	33	2
22	34	1
22	35	3
22	36	4
22	37	3
22	38	2
23	23	0
23	24	1
23	25	3
23	26	2
23	27	1
23	28	2
23	31	3
23	32	2
23	33	1
23	34	2
23	35	4
23	36	3
23	37	2
23	38	3
24	24	0
24	25	2
24	26	3
24	27	2
24	28	1
24	31	4
24	32	3
24	33	2
24	34	3
24	35	5
24	36	4
24	37	3
24	38	4
25	25	0
25	26	1
25	27	2
25	28	1
25	31	4
25	32	5
25	33	4
25	34	3
25	35	3
25	36	4
25	37	3
25	38	2
26	26	0
26	27	1
26	28	2
26	31	3
26	32	4
26	33	3
26	34	2
26	35	2
26	36	3
26	37	2
26	38	1
27	27	0
27	28	1
27	31	4
27	32	3
27	33	2
27	34	3
27	35	3
27	36	2
27	37	1
27	38	2
28	28	0
28	31	5
28	32	4
28	33	3
28	34	4
28	35	4
28	36	3
28	37	2
28	38	3
31	31	0
31	32	1
31	33	2
31	34	1
31	35	1
31	36	2
31	37	3
31	38	2
32	32	0
32	33	1
32	34	2
32	35	2
32	36	1
32	37	2
32	38	3
33	33	0
33	34	1
33	35	3
33	36	2
33	37	1
33	38	2
34	34	0
34	35	2
34	36	3
34	37	2
34	38	1
35	35	0
35	36	1
35	37	2
35	38	1
36	36	0
36	37	1
36	38	2
37	37	0
37	38	1
38	38	0
