 109119 0 -395000
 109129 70355.2 -25000
 109149 -59066.5 -75000
 109219 -77845.5 -85000
 109229 -112031 -95000
 109239 -128504 -125000
 109249 -148143 -155000
 109319 -134228 -145000
 109329 -160250 -165000
 109339 -171693 -185000
 109349 -190138 -205000
 119129 -190138 -395000
 119149 9890.45 -35000
 119219 -29491.8 -45000
 119229 -64139.7 -75000
 119239 -96990.7 -75000
 119249 -105477 -145000
 119319 -92012.9 -95000
 119329 -134757 -125000
 119339 -142726 -135000
 119349 -155780 -185000
 139149 -155780 -395000
 139219 951377 -5000
 139229 41070.1 -15000
 139239 -57587.4 -95000
 139249 -66627.2 -85000
 139319 -73891.7 -85000
 139329 -97763 -85000
 139339 -101458 -125000
 139349 -129880 -155000
 209219 -129880 -395000
 209229 558373 -5000
 209239 -36803.8 -65000
 209249 -54987.7 -55000
 209319 163623 -65000
 209329 -74739.9 -75000
 209339 -87204.1 -75000
 209349 -112168 -145000
 219229 -112168 -395000
 219239 111438 -15000
 219249 50380.6 -35000
 219319 40768.1 -35000
 219329 -44974.2 -65000
 219339 -41482.2 -75000
 219349 -78218 -115000
 229239 -78218 -395000
 229249 420532 -5000
 229319 968222 -5000
 229329 285594 -35000
 229339 -3849.55 -45000
 229349 -46327.8 -65000
 239249 -46327.8 -395000
 239319 1.12262e+06 -5000
 239329 188353 -35000
 239339 192610 -25000
 239349 -41661.6 -25000
 309319 -41661.6 -395000
 309329 181858 -15000
 309339 77920.5 -15000
 309349 -60913.9 -65000
 319329 -60913.9 -395000
 319339 230445 -5000
 319349 -31536.3 -45000
 329339 -31536.3 -395000
 329349 -19350.7 -25000
 339349 -19350.7 -395000
