 111 54654.2 
 112 47734.9 
 113 57388 
 114 55381.7 
 115 62422 
 116 55295 
 117 54738.6 
 118 73745.3 
 119 32000
 131 91125 
 132 92104.8 
 133 79988.6 
 134 91362.3 
 135 102534 
 136 88246 
 137 98557.8 
 138 100424 
 139 68402.8 
 201 105835 
 202 122685 
 203 114947 
 204 103780 
 205 91228.6 
 206 130317 
 207 110741 
 208 122803 
 209 85913.8 
 211 118438 
 212 109027 
 213 91915.2 
 214 127622 
 215 124396 
 216 122656 
 217 125403 
 218 181826 
 219 119908 
 221 123667 
 222 150473 
 223 139880 
 224 135282 
 225 149087 
 226 132001 
 227 132961 
 228 175904 
 229 131038 
 231 165288 
 232 165991 
 233 170985 
 234 147511 
 235 150249 
 236 182438 
 237 162791 
 238 195473 
 239 150459 
 301 164357 
 302 164430 
 303 155996 
 304 153294 
 305 166757 
 306 197800 
 307 166138 
 308 160383 
 309 138288 
 311 163398 
 312 171726 
 313 168056 
 314 175656 
 315 263807 
 316 181952 
 317 191311 
 318 205931 
 319 162116 
 321 205466 
 322 195177 
 323 202596 
 324 205635 
 325 3.18412e+06 
 326 194586 
 327 174252 
 328 202118 
 329 173199 
 331 213454 
 332 225958 
 333 233478 
 334 220892 
 335 238985 
 336 242113 
 337 242288 
 338 265458 
 339 188503 
